trial,stack,class,duration,H_amp,V_amp,H_vel,V_vel,EyeRT,ArmRT,arm_duration,ArmRT2,button1,button2,delay,sac ang,targR,targL
10222,66,1,86,13.64,3.01,353.49,38.6,301,351,125,366,1,4,100,12.4442744725572,-0,-180
10,66,2,66,-19.76,18.75,-519.52,486.03,249,297,114,320,1,4,300,136.502349373784,-45,135
80,66,2,70,-21.02,17.63,-560.78,433.64,255,307,130,347,1,4,400,140.012597576842,-45,135
94,66,2,76,-24.75,17.67,-652.52,411.33,265,288,132,314,1,4,400,144.475463441628,-45,135
10122,66,2,72,-20.58,17.07,-532.72,402.04,249,298,114,318,1,4,0,140.326124189704,-45,135
10167,66,2,66,-15.37,20.79,-397.99,536.56,277,296,127,337,1,4,100,126.475433051701,-45,135
10209,66,2,64,-18.7,12.83,-492.65,327.33,277,290,111,345,1,4,400,145.546127433828,-45,135
3,66,3,58,-0.93,-9.8,-29.53,-269.1,337,356,158,391,1,4,300,-95.4210182276057,-90,90
59,66,3,58,-1.47,-11.08,-44.98,-308.42,297,321,148,338,1,4,0,-97.5573811310493,-90,90
105,66,3,64,-0.27,-18.04,-15.25,-468.17,287,348,160,373,1,4,500,-90.8574670467684,-90,90
10125,66,3,66,-1.91,-24.15,-61.74,-632.44,205,311,153,341,1,4,500,-94.5220545282908,-90,90
10188,66,3,60,-1.98,-14.68,-58.22,-396.07,255,321,137,878,4,1024,400,-97.6815480353271,-90,90
10234,66,3,60,2.52,-15.96,59.77,-435.58,277,348,131,350,1,4,100,-81.0273733851036,-90,90
1,66,4,64,-19.73,-18.27,-515.81,-470.42,271,390,153,456,4,1,100,-137.200281917371,-135,45
53,66,4,66,-16.76,-18.45,-429.05,-467.63,245,314,150,341,4,1,500,-132.252041701411,-135,45
85,66,4,70,-16.9,-17.15,-424.42,-420.22,219,319,143,353,4,1,400,-134.579333700462,-135,45
10145,66,4,66,-19.64,-21.16,-518.18,-574.01,249,317,122,319,4,1,0,-132.866438062993,-135,45
10172,66,4,70,-15.57,-20.68,-390.04,-501,267,317,143,370,4,1,100,-126.976140180982,-135,45
10225,66,4,66,-14.96,-19.85,-381.52,-504.62,299,342,160,362,4,1,200,-127.003593702342,-135,45
23,66,5,66,15.33,-3.95,387.93,-114.14,225,328,160,340,4,1,500,-14.4488151079038,-180,0
75,66,5,64,14.49,-2.25,370.28,-65.31,231,291,153,328,4,1,400,-8.82637095422792,-180,0
